Date ,Exercise
11/15/2020,Full
11/16/2020,Cardio
11/17/2020,Full
11/18/2020,Cardio 
11/19/2020,Full
11/20/2020,Stretch
11/21/2020,Bodyweight
11/22/2020,Full
11/23/2020,Cardio
11/24/2020,Full
11/25/2020,Cardio 
11/26/2020,Full
11/27/2020,Stretch
11/28/2020,Bodyweight
11/29/2020,Full
11/30/2020,Cardio
12/1/2020,Full
12/2/2020,Cardio 
12/3/2020,Full
12/4/2020,Stretch
12/5/2020,Bodyweight
12/6/2020,Full
12/7/2020,Cardio
12/8/2020,Full
12/9/2020,Cardio 
12/10/2020,Full
12/11/2020,Stretch
12/12/2020,Bodyweight
12/13/2020,Full
12/14/2020,Cardio
12/15/2020,Full
12/16/2020,Cardio 
12/17/2020,Full
12/18/2020,Stretch
12/19/2020,Bodyweight
12/20/2020,Full
12/21/2020,Cardio
12/22/2020,Full
12/23/2020,Cardio 
12/24/2020,Full
12/25/2020,Stretch
12/26/2020,Bodyweight
12/27/2020,Full
12/28/2020,Cardio
12/29/2020,Full
12/30/2020,Cardio 
12/31/2020,Full
1/1/2021,Stretch
1/2/2021,Bodyweight
1/3/2021,Full
1/4/2021,Cardio
1/5/2021,Full
1/6/2021,Cardio 
1/7/2021,Full
1/8/2021,Stretch
1/9/2021,Bodyweight
1/10/2021,Full
1/11/2021,Cardio
1/12/2021,Full
1/13/2021,Cardio 
1/14/2021,Full
1/15/2021,Stretch
1/16/2021,Bodyweight
1/17/2021,Full
1/18/2021,Cardio
1/19/2021,Full
1/20/2021,Cardio 
1/21/2021,Full
1/22/2021,Stretch
1/23/2021,Bodyweight
1/24/2021,Full
1/25/2021,Cardio
1/26/2021,Full
1/27/2021,Cardio 
1/28/2021,Full
1/29/2021,Stretch
1/30/2021,Bodyweight
1/31/2021,Full
2/1/2021,Cardio
2/2/2021,Full
2/3/2021,Cardio 
2/4/2021,Full
2/5/2021,Stretch
2/6/2021,Bodyweight
2/7/2021,Full
2/8/2021,Cardio
2/9/2021,Full
2/10/2021,Cardio 
2/11/2021,Full
2/12/2021,Stretch
2/13/2021,Bodyweight
2/14/2021,Full
2/15/2021,Cardio
2/16/2021,Full
2/17/2021,Cardio 
2/18/2021,Full
2/19/2021,Stretch
2/20/2021,Bodyweight
2/21/2021,Full
2/22/2021,Cardio
2/23/2021,Full
2/24/2021,Cardio 
2/25/2021,Full
2/26/2021,Stretch
2/27/2021,Bodyweight
2/28/2021,Full
3/1/2021,Cardio
3/2/2021,Full
3/3/2021,Cardio 
3/4/2021,Full
3/5/2021,Stretch
3/6/2021,Bodyweight
3/7/2021,Full
3/8/2021,Cardio
3/9/2021,Full
3/10/2021,Cardio 
3/11/2021,Full
3/12/2021,Stretch
3/13/2021,Bodyweight
3/14/2021,Full
3/15/2021,Cardio
3/16/2021,Full
3/17/2021,Cardio 
3/18/2021,Full
3/19/2021,Stretch
3/20/2021,Bodyweight
3/21/2021,Full
3/22/2021,Cardio
3/23/2021,Full
3/24/2021,Cardio 
3/25/2021,Full
3/26/2021,Stretch
3/27/2021,Bodyweight
3/28/2021,Full
3/29/2021,Cardio
3/30/2021,Full
3/31/2021,Cardio 
4/1/2021,Full
4/2/2021,Stretch
4/3/2021,Bodyweight
4/4/2021,Full
4/5/2021,Cardio
4/6/2021,Full
4/7/2021,Cardio 
4/8/2021,Full
4/9/2021,Stretch
4/10/2021,Bodyweight
4/11/2021,Full
4/12/2021,Cardio
4/13/2021,Full
